"","transdisciplinaryExp.rate.","familiarWithSI.response.","contribToSI.rate.","motivation.pheno.","motivation.prob.","motivation.welfare.","benefitForNonAcademy","impulseForNonAcad.soc.","impulseForNonAcad.econ.","impulseForNonAcad.ecol.","impulseForNonAcad.health.","impulseForNonAcad.tech.","groupsInvolved.res.","groupsInvolved.busi.","groupsInvolved.civsoc.","groupsInvolved.policy.","groupsInvolved.citiz.","groupsInvolved.media.","groupsInvolved.welfare.","natureOfInvolvement.res.","natureOfInvolvement.busi.","natureOfInvolvement.civsoc.","natureOfInvolvement.policy.","natureOfInvolvement.citiz.","natureOfInvolvement.media.","natureOfInvolvement.welfare.","targetGroupsGoals.socneeds.","targetGroupsGoals.socgroups.","targetGroupsGoals.improve.","targetGroupsGoals.empower.","targetGroupsGoals.diversity.","concepts.pub.","concepts.data.","concepts.code.","concepts.infra.","concepts.review.","concepts2","concepts3","impactTargetGroup.pub.","impactTargetGroup.busi.","impactTargetGroup.socgr.","impactTargetGroup.welfare.","impactTargetGroup.civsoc.","impactTargetGroup.policy.","impactTargetGroup.acad.","kindOfChange.pub.","kindOfChange.busi.","kindOfChange.socgr.","kindOfChange.welfare.","kindOfChange.civsoc.","kindOfChange.policy.","kindOfChange.acad.","adoptByPolicy.rate.","adoptByPolicyHow.SQ001.","adoptByPolicyHow.SQ002.","adoptByPolicyHow.SQ003.","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","dissChannels.peer.","dissChannels.mono.","dissChannels.conf.","dissChannels.policy.","dissChannels.trad.","dissChannels.prof.","dissChannels.web.","dissChannels.socmed.","dissChannels.platf.","dissChannels.consult.","dissChannels.events.","dissChannels.public.","scalabilityRating.up.","scalabilityRating.out.","scalabilityRating.deep."
"54",6,0,NA,10,7,10,2,0,0,0,1,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,1,0,0,1,0,8,3,0,0,0,0,5,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,10,1,0,1,0,1,0,1,1,0,1,1,1,NA,NA,NA
"55",6,2,NA,8,2,2,2,0,0,0,0,0,2,0,0,0,1,0,0,1,NA,NA,NA,2,NA,NA,0,0,0,0,1,1,1,0,0,1,1,0,5,0,5,1,0,0,9,0,NA,2,NA,NA,NA,1,NA,0,0,0,1,2,3,0,9,8,1,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA
"56",5,3,NA,10,10,10,1,0,0,0,1,0,1,0,0,0,2,0,0,2,NA,NA,NA,1,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,2,1,1,1,1,1,8,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,NA,NA,NA
"57",5,0,NA,10,10,2,1,0,0,0,0,1,2,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,1,0,NA,0,0,3,3,0,0,0,0,10,3,3,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0,2,2,1,1,1,0,1,0,0,0,0,0,1,0,NA,NA,NA
"58",7,0,NA,10,10,3,1,0,0,1,0,0,2,0,0,0,0,1,0,3,NA,NA,NA,NA,0,NA,0,0,0,0,1,1,0,1,1,1,0,1,3,0,0,0,7,3,10,1,NA,NA,NA,1,1,0,2,0,0,0,1,0,0,0,10,8,1,1,1,0,1,0,1,0,0,1,0,0,NA,NA,NA
"59",10,5,7,10,8,7,1,1,0,0,0,0,2,1,1,1,2,0,1,3,1,1,0,2,NA,1,1,1,1,1,1,1,1,0,0,0,1,0,6,5,7,1,7,6,8,0,1,1,NA,1,0,0,2,0,0,0,4,5,7,5,5,5,1,0,1,1,1,0,1,1,0,1,1,0,8,8,7
"60",3,4,NA,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,10,NA,10,7,1,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA
"61",1,0,NA,10,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,10,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0,0,9,10,1,0,1,0,0,1,1,0,1,0,0,1,NA,NA,NA
"62",8,0,NA,10,10,10,2,0,0,0,0,0,2,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,0,0,0,1,5,0,5,0,5,5,10,0,NA,0,NA,0,0,0,5,1,0,0,NA,NA,8,NA,NA,9,1,0,1,0,0,0,1,0,1,0,0,0,10,5,5
"63",9,8,6,9,5,9,0,1,1,1,0,1,2,1,1,1,2,1,0,3,0,0,0,1,1,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,2,2,1,1,7,7,8,NA,NA,NA,NA,1,1,1,2,0,0,0,0,0,5,0,8,8,1,1,1,NA,1,1,1,0,0,1,0,0,7,6,8
"64",6,5,3,10,8,2,0,0,0,1,0,0,2,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,1,9,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,8,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"65",6,5,4,8,7,4,1,1,0,0,1,0,1,0,0,0,1,0,1,2,NA,NA,NA,0,NA,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,4,1,3,6,1,NA,1,0,1,0,0,0,0,1,1,1,NA,NA,NA
"66",5,1,NA,6,5,5,1,0,0,1,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,0,0,0,1,5,5,0,0,0,5,8,3,2,NA,NA,NA,2,1,1,0,0,0,6,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,8,8,1
"67",7,0,NA,10,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,9,1,0,0,0,0,0,0,1,1,1,0,0,NA,NA,NA
"68",5,3,NA,7,6,7,1,1,0,0,0,0,2,0,0,1,1,1,1,3,NA,NA,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,7,2,5,6,5,7,8,0,NA,0,1,0,1,1,4,0,0,0,2,3,5,5,6,7,1,1,1,0,1,1,1,0,0,0,0,0,3,5,4
"69",NA,6,2,10,6,7,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,2,2,2,2,2,2,7,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,7,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA
"70",10,0,NA,10,10,NA,0,0,0,0,0,0,1,1,1,0,1,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,4,3,0,0,3,3,9,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,10,10,NA
