"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","scores","scores2","g6.composite","g6.rowsums"
"257",7,8,9,8,10,10,8.66666666666667,8.66666666666667,8.66666666666667,8.66666666666667
"258",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"259",NA,NA,NA,NA,NA,9,9,2.66666666666667,9,1.5
"260",6,NA,NA,3,10,6,6.25,4.5,6.25,4.16666666666667
"261",3,5,8,NA,10,10,7.2,6,7.2,6
"262",2,1,1,0,3,8,2.5,2.5,2.5,2.5
"263",1,1,8,1,5,5,3.5,3.5,3.5,3.5
"264",2,2,10,1,1,10,4.33333333333333,4.33333333333333,4.33333333333333,4.33333333333333
"265",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"266",0,0,0,0,0,2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"267",10,0,0,0,10,10,5,5,5,5
"268",3,0,7,0,4,7,3.5,3.5,3.5,3.5
"269",1,3,7,1,7,3,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
"270",0,0,0,0,0,0,0,0,0,0
"271",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"272",5,1,3,1,9,8,4.5,4.5,4.5,4.5
"273",NA,NA,NA,NA,NA,7,7,2.33333333333333,7,1.16666666666667
"274",1,1,0,0,0,10,2,2,2,2
"275",NA,NA,NA,NA,5,10,7.5,3.16666666666667,7.5,2.5
"276",0,0,0,0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0,0,0,0
"278",9,9,10,10,10,10,9.66666666666667,9.66666666666667,9.66666666666667,9.66666666666667
"279",0,0,0,0,0,9,1.5,1.5,1.5,1.5
"280",0,0,0,0,0,10,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"281",0,5,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"282",0,1,9,0,3,9,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667
"283",0,0,0,0,0,7,1.16666666666667,1.16666666666667,1.16666666666667,1.16666666666667
"284",5,NA,0,0,8,8,4.2,3.5,4.2,3.5
"285",10,10,7,5,3,10,7.5,7.5,7.5,7.5
"286",0,0,8,4,0,0,2,2,2,2
"287",NA,NA,NA,NA,NA,8,8,2.5,8,1.33333333333333
"288",9,3,8,8,4,10,7,7,7,7
"289",0,0,5,0,9,10,4,4,4,4
"290",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"291",0,0,3,0,3,8,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"292",8,NA,NA,NA,10,10,9.33333333333333,5,9.33333333333333,4.66666666666667
"293",5,2,7,6,3,9,5.33333333333333,5.33333333333333,5.33333333333333,5.33333333333333
"294",NA,NA,NA,3,2,8,4.33333333333333,2.83333333333333,4.33333333333333,2.16666666666667
"295",NA,NA,NA,NA,10,8,9,3.66666666666667,9,3
"296",3,NA,7,NA,3,5,4.5,3,4.5,3
"297",3,0,4,4,8,10,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"298",5,0,0,0,0,10,2.5,2.5,2.5,2.5
"299",0,0,0,0,0,NA,0,1.16666666666667,0,0
"300",NA,NA,10,9,7,NA,8.66666666666667,5.83333333333333,8.66666666666667,4.33333333333333
"301",0,0,0,0,1,10,1.83333333333333,1.83333333333333,1.83333333333333,1.83333333333333
"302",6,0,1,1,2,0,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"303",0,0,0,0,0,0,0,0,0,0
"304",4,0,2,5,5,10,4.33333333333333,4.33333333333333,4.33333333333333,4.33333333333333
"305",0,0,0,0,0,10,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"306",7,3,6,6,3,4,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333
"307",8,NA,NA,NA,NA,8,8,3.5,8,2.66666666666667
"308",NA,NA,NA,NA,NA,8,8,2.5,8,1.33333333333333
"309",0,0,0,0,0,0,0,0,0,0
"310",0,0,7,7,0,0,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"311",7,7,8,7,9,10,8,8,8,8
"312",NA,NA,NA,NA,10,10,10,4,10,3.33333333333333
"313",2,0,0,0,0,8,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667
"314",0,3,4,0,0,6,2.16666666666667,2.16666666666667,2.16666666666667,2.16666666666667
"315",1,0,0,0,1,7,1.5,1.5,1.5,1.5
"316",0,0,0,0,5,4,1.5,1.5,1.5,1.5
"317",8,7,2,2,4,7,5,5,5,5
"318",3,3,0,0,0,7,2.16666666666667,2.16666666666667,2.16666666666667,2.16666666666667
"319",8,5,9,5,5,5,6.16666666666667,6.16666666666667,6.16666666666667,6.16666666666667
"320",5,1,4,0,8,8,4.33333333333333,4.33333333333333,4.33333333333333,4.33333333333333
"321",3,1,5,2,3,7,3.5,3.5,3.5,3.5
"322",NA,NA,NA,NA,NA,4,4,1.83333333333333,4,0.666666666666667
"323",NA,NA,NA,NA,10,10,10,4,10,3.33333333333333
"324",8,6,10,6,7,6,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667
"325",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"326",NA,NA,NA,NA,NA,8,8,2.5,8,1.33333333333333
"327",8,3,3,3,3,8,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
"328",0,0,0,0,0,0,0,0,0,0
"329",NA,NA,5,NA,4,0,3,1.83333333333333,3,1.5
"330",4,2,0,0,2,6,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"331",3,NA,9,2,6,7,5.4,4.5,5.4,4.5
"332",8,NA,NA,NA,NA,8,8,3.5,8,2.66666666666667
"333",3,3,3,0,0,0,1.5,1.5,1.5,1.5
"334",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"335",0,NA,NA,NA,NA,3,1.5,1.33333333333333,1.5,0.5
"336",7,4,8,0,7,8,5.66666666666667,5.66666666666667,5.66666666666667,5.66666666666667
"337",10,10,9,8,10,10,9.5,9.5,9.5,9.5
"338",4,1,10,3,3,7,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
"339",10,NA,3,3,NA,NA,5.33333333333333,4.33333333333333,5.33333333333333,2.66666666666667
"340",0,0,0,0,0,5,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"341",4,3,4,3,7,7,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
